agency.added_date,agency.agency_id,agency.agency_status,agency.agency_type.agency_type_name,agency.agency_type.default_pop_family,agency.campus,agency.change_timestamp,agency.change_user,agency.city,agency.city.city_name,agency.department,agency.dormant_year,agency.fid_code,agency.field_office.field_office_alpha_code,agency.field_office.field_office_code,agency.field_office.field_office_name,agency.field_office.field_office_numeric_code,agency.judicial_dist_code,agency.legacy_notify_agency,agency.legacy_ori,agency.ncic_agency_name,agency.ori,agency.population_family.population_family_desc,agency.population_family.population_family_name,agency.population_family.sort_order,agency.pub_agency_name,agency.special_mailing_address,agency.special_mailing_group,agency.state.division.division_code,agency.state.division.division_desc,agency.state.division.division_name,agency.state.division.region.region_code,agency.state.division.region.region_desc,agency.state.division.region.region_name,agency.state.state_abbr,agency.state.state_code,agency.state.state_fips_code,agency.state.state_name,agency.state.state_postal_abbr,agency.state.state_pub_freq_months,agency.submitting_agency.agency_email,agency.submitting_agency.agency_name,agency.submitting_agency.agency_website,agency.submitting_agency.comments,agency.submitting_agency.notify_agency,agency.submitting_agency.sai,agency.submitting_agency.state.division.division_code,agency.submitting_agency.state.division.division_desc,agency.submitting_agency.state.division.division_name,agency.submitting_agency.state.division.region.region_code,agency.submitting_agency.state.division.region.region_desc,agency.submitting_agency.state.division.region.region_name,agency.submitting_agency.state.state_abbr,agency.submitting_agency.state.state_code,agency.submitting_agency.state.state_fips_code,agency.submitting_agency.state.state_name,agency.submitting_agency.state.state_postal_abbr,agency.submitting_agency.state.state_pub_freq_months,agency.tribe,agency.ucr_agency_name,arrestees,cargo_theft_flag,cleared_except_date,cleared_except.cleared_except_code,cleared_except.cleared_except_name,did,ff_line_number,incident_date,incident_hour,incident_status,offenders,offenses,property,report_date_flag,submission_date,victims
1991-04-30T00:00:00+00:00,14408,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Loveland,,,,CI,,Cincinnati,3160,310S,Y,OH0312000,LOVELAND,OH0312000,City (1-7),City,2,Loveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,LOVELAND,0,,,N,Not Applicable,,,2014-08-10T00:00:00+00:00,1,0,1,2,1,,,1
2008-10-03T00:00:00+00:00,14903,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Pioneer,,,,CV,,Cleveland,3170,305N,Y,OH0860700,PIONEER,OH0860700,City (1-7),City,2,Pioneer,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,PIONEER,0,,2014-07-27T00:00:00+00:00,D,Victim Refused to Cooperate,,,2014-07-05T00:00:00+00:00,21,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14572,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Youngstown,,,,CV,,Cleveland,3170,305N,Y,OH0500100,AUSTINTOWN,OH0500100,City (1-7),City,2,Austintown,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,AUSTINTOWN,0,,,N,Not Applicable,,,2014-01-14T00:00:00+00:00,20,0,1,1,0,R,,1
1991-04-30T00:00:00+00:00,14797,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Akron,,,,CV,,Cleveland,3170,305N,Y,OH0770100,AKRON,OH0770100,City (1-7),City,2,Akron,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,AKRON,1,,,N,Not Applicable,,,2014-12-03T00:00:00+00:00,19,0,1,4,2,,,2
1991-04-30T00:00:00+00:00,14427,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OH0314200,COLERAIN TOWNSHIP,OH0314200,City (1-7),City,2,Colerain Township,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLERAIN TOWNSHIP,0,,,N,Not Applicable,,,2014-06-22T00:00:00+00:00,20,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-03-03T00:00:00+00:00,12,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-01-17T00:00:00+00:00,11,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14779,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Canton,,,,CV,,Cleveland,3170,305N,Y,OH0760400,CANTON,OH0760400,City (1-7),City,2,Canton,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Canton,,,Y,OH0760400,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CANTON,0,,,N,Not Applicable,,,2014-01-31T00:00:00+00:00,12,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,0,,,N,Not Applicable,,,2014-07-02T00:00:00+00:00,0,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-12-17T00:00:00+00:00,22,0,1,2,1,,,1
1991-04-30T00:00:00+00:00,14624,A,County,3,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,,,,,CI,,Cincinnati,3160,310S,Y,OH0550000,MIAMI,OH0550000,"County (8A-8D,9A-9D)",County,3,Miami,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,MIAMI,0,,,N,Not Applicable,,,2014-09-27T00:00:00+00:00,22,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14634,A,County,3,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,,,,,CI,,Cincinnati,3160,310S,Y,OH0570000,MONTGOMERY,OH0570000,"County (8A-8D,9A-9D)",County,3,Montgomery,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,MONTGOMERY,0,,,N,Not Applicable,,,2014-11-01T00:00:00+00:00,12,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14147,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,West Chester,,,,CI,,Cincinnati,3160,310S,Y,OH0091500,WEST CHESTER TOWNSHIP,OH0091500,City (1-7),City,2,West Chester Township,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,WEST CHESTER TOWNSHIP,0,,,N,Not Applicable,,,2014-04-28T00:00:00+00:00,17,0,1,1,0,R,,1
1991-04-30T00:00:00+00:00,14696,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,New Lexington,,,,CI,,Cincinnati,3160,310S,Y,OH0640200,NEW LEXINGTON,OH0640200,City (1-7),City,2,New Lexington,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,NEW LEXINGTON,0,,,N,Not Applicable,,,2014-09-26T00:00:00+00:00,11,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14797,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Akron,,,,CV,,Cleveland,3170,305N,Y,OH0770100,AKRON,OH0770100,City (1-7),City,2,Akron,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,AKRON,0,,,N,Not Applicable,,,2014-07-12T00:00:00+00:00,3,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,0,,,N,Not Applicable,,,2014-12-09T00:00:00+00:00,0,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-05-15T00:00:00+00:00,5,0,1,1,0,R,,1
1991-04-30T00:00:00+00:00,14573,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Youngstown,,,,CV,,Cleveland,3170,305N,Y,OH0500200,BOARDMAN,OH0500200,City (1-7),City,2,Boardman,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,BOARDMAN,0,,,N,Not Applicable,,,2014-03-02T00:00:00+00:00,21,0,1,1,0,R,,1
1991-04-30T00:00:00+00:00,14832,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Niles,,,,CV,,Cleveland,3170,305N,Y,OH0780600,NILES,OH0780600,City (1-7),City,2,Niles,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,NILES,0,,,N,Not Applicable,,,2014-07-09T00:00:00+00:00,5,0,1,1,0,R,,1
