ori,agency_type_name,EDITED,agency_name [EDIT THIS COLUMN],pub_agency_name,icpsr_name
AK0010100,City,,Anchorage Police Department,Anchorage,Anchorage Police Department
AK0010200,City,,Fairbanks Police Department,Fairbanks,Fairbanks Police Dept.
AK0010300,City,,Juneau Police Department,Juneau,Juneau Police Dept.
AK0010400,City,,Ketchikan Police Department,Ketchikan,Ketchikan Police Dept.
AK0010500,City,,Kodiak Police Department,Kodiak,Kodiak Police Dept.
AK0010600,City,,Nome Police Department,Nome,Nome Police Dept.
AK0010700,City,,Petersburg Police Department,Petersburg,Petersburg Police Dept.
AK0010800,City,,Seward Police Department,Seward,Seward Police Dept
AK0010900,City,,Sitka Police Department,Sitka,Sitka Police Dept
AK0011000,City,,Skagway Police Department,Skagway,Skagway Police Dept
AK0011100,City,,Wrangell Police Department,Wrangell,Wrangell Police Dept.
AK0011200,City,,Valdez Police Department,Valdez,Valdez Police Dept.
AK0011300,City,,Bethel Police Department,Bethel,Bethel Police Dept.
AK0011400,City,,Cordova Police Department,Cordova,Cordova Dept. Of Public Safety
AK0011600,City,,Kotzebue Police Department,Kotzebue,Kotzebue Police Dept.
AK0011700,City,,Palmer Police Department,Palmer,Palmer Police Dept.
AK0011800,City,,North Slope Borough Police Department,North Slope Borough,North Slope Borough Police Dept.
AK0011900,City,,Seldovia Police Department,Seldovia,Seldovia Police Dept.
AK0012000,City,,Soldotna Police Department,Soldotna,Soldotna Police Dept.
AK0012100,City,,Haines Police Department,Haines,Haines Police Dept
AK0012200,City,,Homer Police Department,Homer,Homer Police Dept.
AK0012300,City,,Kenai Police Department,Kenai,Kenai Police Dept.
AK0012400,City,,Spenard Service District Police Department,Spenard Service District,Anchorage PD
AK0012500,Tribal,X,Metlakatla Tribal Police Department,Metlakatla Tribal,Metlakatla Tribal Police Dept.
AK0012600,Other,,Fairbanks International Airport,Fairbanks International Airport,Fairbanks International Airport Police
AK0012700,Other,,Anchorage International Airport,Anchorage International Airport,Anchorage International Airport Police
AK0012800,City,,Whittier Police Department,Whittier,Whittier Police Dept.
AK0013000,City,,Dillingham Police Department,Dillingham,Dillingham Police Dept.
AK0013100,City,,Hoonah Police Department,Hoonah,Hoonah Dept Of Public Safety
AK0013200,City,,North Pole Police Department,North Pole,North Pole Police Dept.
AK0013300,City,,Unalaska Police Department,Unalaska,Unalaska Dept Of Public Safety
AK0013500,City,,Klawock Police Department,Klawock,Klawock Police Dept.
AK0014200,University or College,,University of Alaska: Fairbanks,University of Alaska: Fairbanks,University Of Alaska - Fairbanks Police
AK0014300,University or College,,University of Alaska: Anchorage,University of Alaska: Anchorage,University Of Alaska - Anchorage Police
AK0014500,City,,Craig Police Department,Craig,Craig Police Dept
AK0014600,City,,Bristol Bay Borough Police Department,Bristol Bay Borough,Bristol Bay Borough Police Dept.
AK0014700,City,,Kake Police Department,Kake,Kake Police Dept.
AK0014900,City,,Nenana Police Department,Nenana,Dps Nenana
AK0015000,City,,St. Paul Police Department,St. Paul,Saint Paul Police Dept.
AK0015200,City,,Sand Point Police Department,Sand Point,Sand Point Police Dept
AK0015400,City,,Togiak Police Department,Togiak,Togiak Police Dept.
AK0015600,City,,Wasilla Police Department,Wasilla,Wasilla Police Dept.
AK0016300,City,,Anvik Police Department,Anvik,Anvik Police Department
AK0016400,City,,Emmonak Police Department,Emmonak,Emmonak City Police Dept
AK0016600,City,,Houston Police Department,Houston,Houston Police Department
AK020045Y,Other State Agency,,Alcohol Beverage Control Board,Alcohol Beverage Control Board,
AKASP0000,State Police,,Alaska State Troopers,Alaska State Troopers,Alaska State Troopers
AKAST0000,State Police,,"State Troopers, Juneau","State Troopers, Juneau",St Troopers Juneau
AKAST0100,State Police,,State Troopers,State Troopers,Ak Dps Alaska State Troopers
AKAST0600,State Police,,"State Troopers, Bethel","State Troopers, Bethel",St Troopers Bethel
AKAST1500,State Police,,"State Troopers Headquarters, Anchorage","State Troopers Headquarters, Anchorage",Alaska State Troopers
AKDI00100,Unknown,X,Katmai National Monument,Katmai Nm,
AKDI00200,Unknown,X,Mount McKinley National Park,Mount McKinley Np,
AKDI00300,Unknown,,Sitka Nhp,Sitka Nhp,
AKDI00400,Unknown,X,Glacier Bay National Monument,Glacier Bay Nm,
AL0010000,County,,Jefferson County Sheriff's Department,Jefferson,Jefferson County Sheriff's Office
AL0010100,City,,Bessemer Police Department,Bessemer,Bessemer Police Department
AL0010200,City,,Birmingham Police Department,Birmingham,Birmingham Police Department
AL0010300,City,,Mountain Brook Police Department,Mountain Brook,Mountain Brook Police Department
AL0010400,City,,Fairfield Police Department,Fairfield,Fairfield Police Department
AL0010500,City,,Gardendale Police Department,Gardendale,Gardendale Police Department
AL0010600,City,,Leeds Police Department,Leeds,Leeds Police Department
AL0010700,City,,Midfield Police Department,Midfield,Midfield Police Department
AL0010800,City,,Tarrant Police Department,Tarrant,Tarrant Police Department
AL0010900,City,,Vestavia Hills Police Department,Vestavia Hills,Vestavia Hills Police Department
AL0011000,City,,Homewood Police Department,Homewood,Homewood Police Department
AL0011100,City,,Fultondale Police Department,Fultondale,Fultondale Police Department
AL0011200,City,,Hoover Police Department,Hoover,Hoover Police Department
AL0011300,City,,Irondale Police Department,Irondale,Irondale Police Department
AL0011400,City,,Pleasant Grove Police Department,Pleasant Grove,Pleasant Grove Police Department
AL0011500,City,,Roosevelt City Police Department,Roosevelt City,Roosevelt PD
AL0011600,City,,Graysville Police Department,Graysville,Graysville PD
AL0011700,City,,Brownsville Police Department,Brownsville,Brownsville PD
AL0011800,City,,Brighton Police Department,Brighton,Brighton Police Department
AL0011900,City,,Hueytown Police Department,Hueytown,Hueytown Police Department
AL0012000,City,,Lipscomb Police Department,Lipscomb,Lipscomb Police Department
AL0012100,City,,Trussville Police Department,Trussville,Trussville Police Department
AL0012200,City,,Adamsville Police Department,Adamsville,Adamsville Police Department
AL0012300,City,,Warrior Police Department,Warrior,Warrior Police Department
AL0012400,University or College,,University of Alabama: Birmingham,University of Alabama: Birmingham,University Of Alabama - Birmingham Police Dept
AL0012500,City,,Trafford Police Department,Trafford,Trafford Police Department
AL0012600,City,,Morris Police Department,Morris,Morris Police Department
AL0012700,City,,Brookside Police Department,Brookside,Brookside Police Department
AL0012800,City,,Cardiff Police Department,Cardiff,Cardiff PD
AL0012900,City,,Kimberly Police Department,Kimberly,Kimberly Police Department
AL0013000,City,,County Line Police Department,County Line,County Line PD Trafford
AL0013200,Other State Agency,,Tannehill Ironworks Historic State Park,Tannehill Ironworks Historic State Park,Tannehill Ironworks Hist St Park Rangers
AL0013400,University or College,,Jefferson State Community College,Jefferson State Community College,Jefferson State Community College Police Departmen
AL0013500,Other,,Norfolk Southern Railway,Norfolk Southern Railway,Norfolk Southern Railway
AL0014100,University or College,,Samford University,Samford University,Samford University
AL0014500,Other,,Trussville Fire Department Fire and Explosion Investigation Unit,Trussville Fire Department Fire and Explosion Investigation Unit,Fire And Explosion Invest Unit Trussville Fire
AL0020000,County,,Mobile County Sheriff's Department,Mobile,Mobile County Sheriff's Office
AL0020100,City,,Mobile Police Department,Mobile,Mobile Police Department
AL0020200,City,,Prichard Police Department,Prichard,Prichard Police Department
AL0020300,City,,Chickasaw Police Department,Chickasaw,Chickasaw Police Department
AL0020400,City,,Citronelle Police Department,Citronelle,Citronelle Police Department
AL0020500,City,,Saraland Police Department,Saraland,Saraland Police Department
AL0020600,City,,Bayou La Batre Police Department,Bayou La Batre,Bayou La Batre Police Department
AL0020700,City,,Satsuma Police Department,Satsuma,Satsuma Police Department
AL0020800,City,,Mount Vernon Police Department,Mount Vernon,Mount Vernon Police Department
AL0020900,City,,Wilmer Police Department,Wilmer,Wilmer PD
AL0021200,City,,Creola Police Department,Creola,Creola Police Department
AL0021300,Other,,Mobile Regional Airport,Mobile Regional Airport,Mobile Airport Police Department
AL0021400,University or College,,University of South Alabama,University of South Alabama,University Of South Alabama Police Department
AL0021500,City,,Dauphin Island Police Department,Dauphin Island,Dauphin Island Police Department
AL0021700,University or College,,Bishop State Community College,Bishop State Community College,Bishop State Community College Police
AL0030000,County,,Montgomery County Sheriff's Department,Montgomery,Montgomery County Sheriff's Office
AL0030100,City,,Montgomery Police Department,Montgomery,Montgomery Police Department
