year,total,homicide,rape,robbery,aggravated-assault,burglary,larceny,motor-vehicle-theft,arson,violent-crime,property-crime,other-assault,forgery,fraud,embezzlement,stolen-property,vandalism,weapons,prostitution,other-sex-offenseos,drug-abuse,gambling,against-family,dui,liquor-laws,drunkenness,disorderly-conduct,vagrancy,other,suspicion,curfew-loitering
2015,10797088,11092,22863,95572,376154,216010,1160390,77979,8834,505681,1463213,1081019,55333,133138,15909,88576,191015,145358,41877,51388,1488707,4825,94837,1089171,266250,405880,386078,25151,3218880,1389,44802
2014,11205833,10571,21007,94403,372685,237974,1238190,68422,9394,498666,1553980,1093258,56783,141293,16227,88946,198400,140713,47598,55456,1561231,5637,102336,1117852,321125,414854,436014,27380,3274430,1310,53654
2013,11302102,10231,16863,94406,358860,252629,1231580,64566,10509,480360,1559284,1097741,60969,143528,15730,92691,201168,137779,48620,57925,1501043,6024,101247,1166824,354872,443527,467993,25755,3282651,1096,56371
2012,12196959,11075,18098,103661,388362,283582,1282352,68845,11433,521196,1646212,1199476,67046,153535,16023,97670,228463,149286,56575,68355,1552432,7868,107018,1282957,441532,511271,543995,27003,3448856,1532,70190
2011,12408899,10832,19491,106674,397707,296707,1264986,66414,11776,534704,1639883,1241722,70211,168217,16190,93234,237638,153519,57345,69225,1531251,8596,116723,1215077,500648,534218,582158,29203,3532195,1424,76942
2010,13120947,11201,20088,112300,408488,289769,1271410,71487,11296,552077,1643962,1292449,78101,187887,16616,94802,252753,159020,62668,72628,1638846,9941,111062,1412223,512790,560718,615172,32033,3720402,1166,94797
2009,13687241,12418,21407,126725,421215,299351,1334933,81797,12204,581765,1728285,1319458,85844,210255,17920,105303,270439,166334,71355,77326,1663582,10360,114564,1440409,570333,594300,655322,33388,3764672,1975,112593
2008,14005615,12955,22584,129403,429969,308479,1266706,98035,14125,594911,1687345,1298342,90127,234199,21402,111319,285012,179661,75004,79914,1702537,9811,118419,1483396,625939,611069,685985,33852,3835083,1650,133063
2007,14209365,13480,23307,126715,433945,303853,1172762,118231,15242,597447,1610088,1305693,103448,252873,22381,122061,291575,188891,77607,83979,1841182,12161,122812,1427494,633654,589402,709105,33666,3931965,2176,143002
2006,14380370,13435,24535,125605,447948,304801,1081157,137757,16582,611523,1540297,1305757,108823,280693,20012,122722,300679,200782,79673,87252,1889810,12307,131491,1460498,645734,553188,703504,36471,4022068,2482,152907
2005,14094186,14062,25528,114616,449297,298835,1146696,147459,16337,603503,1609327,1301392,118455,321521,18970,133856,279562,193469,84891,91625,1846351,11180,129128,1371919,597838,556167,678231,33227,3863785,3764,140835
2004,13938071,13467,26066,108992,438033,294645,1185619,148429,15504,586558,1644197,1284858,119518,282938,17332,128529,272522,175776,87872,90913,1746570,10755,124936,1433382,612528,552671,657637,36404,3815435,3554,137398
2003,13639479,13190,26350,107553,449933,290956,1145074,152934,16163,597026,1605127,1246698,111823,299138,16826,126775,273431,167972,75190,91546,1678192,10954,136034,1448148,612079,548616,639371,28948,3665543,7163,136461
2002,13741438,14158,28288,105774,472290,288291,1160085,148943,16635,620510,1613954,1288682,115735,337404,18552,126422,276697,164446,79733,95066,1538813,10506,140286,1461746,653819,572735,669938,27295,3662159,8899,141252
2001,13699254,13653,27270,108400,477809,291444,1160821,147451,18749,627132,1618465,1315807,113741,323308,20157,121972,270645,165896,80854,91828,1586902,11112,143683,1434852,610591,618668,621394,27935,3618164,3955,142889
2000,13980297,13227,27469,106130,478417,289844,1166362,148225,16530,625132,1620928,1312169,108654,345732,18952,118641,281305,159181,87620,93399,1579566,10842,147663,1471289,683124,637554,638740,32542,3710434,5682,154711
1999,14031070,14790,28830,108850,483530,296100,1189400,142200,16800,635990,1644500,1294400,106900,363800,17100,121900,278200,172400,92100,92400,1532200,10400,151200,1511300,657900,656100,633100,30000,3728100,7500,167200
1998,14528300,17450,31070,120870,506630,330700,1307100,150700,17200,675900,1805600,1338800,114600,394600,17100,137900,300200,190600,94000,93600,1559100,12800,146400,1402800,630400,710300,696100,30400,3824100,5200,187800
1997,15284300,18290,32060,132450,534920,356000,1472600,167000,20000,717750,2015600,1395800,120100,414600,17400,155300,318400,218900,101600,101900,1583600,15900,155800,1477300,636400,734800,811100,28800,3884600,6500,182700
1996,15168100,19020,33050,156270,521570,364800,1486300,175400,19000,729900,2045600,1329000,121600,465000,15700,151100,320900,216200,99000,95800,1506200,21000,149800,1467300,677400,718700,842600,27800,3786700,4900,185100
1995,15119800,21230,34650,171870,568480,386500,1530200,191900,20000,796250,2128600,1290400,122300,436400,15200,166500,311100,243900,97700,94500,1476100,19500,142900,1436000,594900,708100,748600,25900,3865400,12100,149800
