ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
CT00015,3,0,0,0,0,0,0
CT00034,2,0,0,0,0,0,0
CT00049,1,0,0,0,0,0,0
CT00054,1,0,0,0,0,0,0
CT00060,1,0,0,0,0,0,0
CT00064,3,0,0,0,0,0,0
CT00069,1,0,0,0,0,0,0
CT00077,5,0,0,0,0,0,0
CT00080,2,0,0,0,0,0,0
CT00084,2,0,0,0,0,0,0
CT00086,1,0,0,0,0,0,0
CT00089,1,0,0,0,0,0,0
CT00093,1,0,0,0,0,0,0
CT00094,3,0,0,0,0,0,0
CT00104,1,0,0,0,0,0,0
CT00110,1,0,0,0,0,0,0
CT00132,1,0,0,0,0,0,0
CT00135,1,0,0,0,0,0,0
CT00143,1,0,0,0,0,0,0
CT00151,5,0,0,0,0,0,0
CT00156,1,0,0,0,0,0,0
CT00170,2,0,0,0,0,0,0
DCMPD00,12,0,0,0,0,0,0
INIEP00,7,0,0,0,0,0,0
IN00101,2,0,0,0,0,0,0
IN00201,10,0,0,0,0,0,0
IN00202,12,0,0,0,0,0,0
IN00300,5,0,0,0,0,0,0
IN00301,5,0,0,0,0,0,0
IN00500,12,0,0,0,0,0,0
IN00501,1,0,0,0,0,0,0
IN00605,9,0,0,0,0,0,0
IN00700,8,0,0,0,0,0,0
IN01003,6,0,0,0,0,0,0
IN01004,7,0,0,0,0,0,0
IN01200,3,0,0,0,0,0,0
IN01300,5,0,0,0,0,0,0
IN01701,5,0,0,0,0,0,0
IN01703,4,0,0,0,0,0,0
IN01800,10,0,0,0,0,0,0
IN01801,12,0,0,0,0,0,0
IN01805,10,0,0,0,0,0,0
IN01901,4,0,0,0,0,0,0
IN01902,4,0,0,0,0,0,0
IN02000,7,0,0,0,0,0,0
IN02001,9,0,0,0,0,0,0
IN02002,9,0,0,0,0,0,0
IN02003,12,0,0,0,0,0,0
IN02200,11,0,0,0,0,0,0
IN02201,1,0,0,0,0,0,0
IN02500,2,0,0,0,0,0,0
IN02600,6,0,0,0,0,0,0
IN02701,1,0,0,0,0,0,0
IN02702,7,0,0,0,0,0,0
IN02703,8,0,0,0,0,0,0
IN02800,12,0,0,0,0,0,0
IN02803,8,0,0,0,0,0,0
IN02904,11,0,0,0,0,0,0
IN03100,12,0,0,0,0,0,0
IN03101,9,0,0,0,0,0,0
IN03200,12,0,0,0,0,0,0
IN03203,8,0,0,0,0,0,0
IN03300,12,0,0,0,0,0,0
IN03400,6,0,0,0,0,0,0
IN03401,5,0,0,0,0,0,0
IN03601,11,0,0,0,0,0,0
IN03602,6,0,0,0,0,0,0
IN03800,3,0,0,0,0,0,0
IN04101,5,0,0,0,0,0,0
IN04102,12,0,0,0,0,0,0
IN04103,11,0,0,0,0,0,0
IN04104,7,0,0,0,0,0,0
IN04108,3,0,0,0,0,0,0
IN04300,7,0,0,0,0,0,0
IN04301,11,0,0,0,0,0,0
IN04302,12,0,0,0,0,0,0
