"ori","zip","lat","lng"
"AL0040200","36003",32.536382,-86.64449
"AL0040100","36067",32.536382,-86.64449
"AL0040300"," ",32.536382,-86.64449
"AL0040000","36067",32.536382,-86.64449
"AL0051100","36507",30.659218,-87.746067
"AL0050100","36507",30.659218,-87.746067
"AL0050800","36526",30.659218,-87.746067
"AL0051000","36530",30.659218,-87.746067
"AL0050200","36533",30.659218,-87.746067
"AL0050300","36535",30.659218,-87.746067
"AL0050400","36542",30.659218,-87.746067
"AL0050600","36551",30.659218,-87.746067
"AL0051200","36561",30.659218,-87.746067
"AL0051400"," ",30.659218,-87.746067
"AL0050500","36567",30.659218,-87.746067
"AL0050700","36576",30.659218,-87.746067
"AL0051300","36527",30.659218,-87.746067
"AL0051500"," ",30.659218,-87.746067
"AL0050900","36580",30.659218,-87.746067
"AL0050000","36507",30.659218,-87.746067
"AL0060700","36027",31.870253,-85.405104
"AL0060600"," ",31.870253,-85.405104
"AL0060200","36016",31.870253,-85.405104
"AL0060300","36017",31.870253,-85.405104
"AL0060100","36072",31.870253,-85.405104
"AL0060500"," ",31.870253,-85.405104
"ALAST0600"," ",31.870253,-85.405104
"AL0060400","36048",31.870253,-85.405104
"AL0060000","36016",31.870253,-85.405104
"AL0070200","35034",33.015893,-87.127148
"AL0070100","35042",33.015893,-87.127148
"AL0070300","35184",33.015893,-87.127148
"AL0070400","35188",33.015893,-87.127148
"AL0070000","35042",33.015893,-87.127148
"AL0080200","35031",33.977448,-86.567246
"AL0080300","35049",33.977448,-86.567246
"AL0080500","35121",33.977448,-86.567246
"AL0080100","35121",33.977448,-86.567246
"AL0080400","35952",33.977448,-86.567246
"AL0080600"," ",33.977448,-86.567246
"AL0080000","35121",33.977448,-86.567246
"AL0090100","36089",32.101759,-85.717261
"AL0090000","36089",32.101759,-85.717261
"AL0100200","36033",31.751667,-86.681969
"AL0100100","36037",31.751667,-86.681969
"AL0100300","35456",31.751667,-86.681969
"AL0100000","36037",31.751667,-86.681969
"AL0110100","36202",33.771706,-85.822513
"AL0110900"," ",33.771706,-85.822513
"AL0110600","36201",33.771706,-85.822513
"AL0110200","36265",33.771706,-85.822513
"AL0110800","36265",33.771706,-85.822513
"ALAST1100"," ",33.771706,-85.822513
"AL0110700","36271",33.771706,-85.822513
"AL0110500","36203",33.771706,-85.822513
"AL0110300","36272",33.771706,-85.822513
"AL0110400","36277",33.771706,-85.822513
"AL0110000","36201",33.771706,-85.822513
"AL0111100"," ",33.771706,-85.822513
"AL0120100","36862",32.915504,-85.394032
"AL0120200","36863",32.915504,-85.394032
"AL0120400","36854",32.915504,-85.394032
"AL0120300"," ",32.915504,-85.394032
"AL0120000","36862",32.915504,-85.394032
"ALAST2000"," ",34.703112,-87.801457
"AL0130200","35959",34.069515,-85.654242
"AL0130100","35960",34.069515,-85.654242
"AL0130400"," ",34.069515,-85.654242
"AL0130300","35983",34.069515,-85.654242
"AL0130000","35960",34.069515,-85.654242
"AL0140100","35046",32.854051,-86.726607
"AL0140300","35085",32.854051,-86.726607
"AL0140200","36750",32.854051,-86.726607
"AL0140400","35171",32.854051,-86.726607
"AL0140000","35045",32.854051,-86.726607
"AL0150100","36904",31.990997,-88.248908
"AL0150200","36908",31.990997,-88.248908
"AL0150600"," ",31.990997,-88.248908
"AL0150300","36916",31.990997,-88.248908
"AL0150400","36919",31.990997,-88.248908
"AL0150500","36912",31.990997,-88.248908
"AL0150000","36904",31.990997,-88.248908
"AL0160600","36524",31.685521,-87.818624
"AL0160400","36446",31.685521,-87.818624
"AL0160300","36451",31.685521,-87.818624
"ALAST1600"," ",31.685521,-87.818624
"AL0160100","36545",31.685521,-87.818624
"ALAST4900"," ",34.138219,-87.881551
"AL0160200","36784",31.685521,-87.818624
"AL0160500"," ",31.685521,-87.818624
"AL0160000","36451",31.685521,-87.818624
"AL0170100","36251",33.267809,-85.862051
"AL0011700","35203",33.267809,-85.862051
"AL0170200","36266",33.267809,-85.862051
"AL0170000","36251",33.267809,-85.862051
"AL0180100","36264",33.671964,-85.516126
"AL0180200","36273",33.671964,-85.516126
"AL0180000","36264",33.671964,-85.516126
"AL0190100","36323",31.402258,-85.989602
"AL0190200","36331",31.402258,-85.989602
"AL0190500","36331",31.402258,-85.989602
"AL0190400","36453",31.402258,-85.989602
"AL0190300","36351",31.402258,-85.989602
"AL0190000","36351",31.402258,-85.989602
"AL0200400","35616",34.703112,-87.801457
"AL0200500","35646",34.703112,-87.801457
"AL0200600","35654",34.703112,-87.801457
"AL0200300","35662",34.703112,-87.801457
"AL0200800","35661",34.703112,-87.801457
"AL0200100","35660",34.703112,-87.801457
"AL0200200","35674",34.703112,-87.801457
"AL0200000","35674",34.703112,-87.801457
"AL0210200","36432",31.428292,-86.992029
"AL0210100","36401",31.428292,-86.992029
"ALAST2100"," ",31.428292,-86.992029
"AL0210300","36475",31.428292,-86.992029
"AL0210000","36401",31.428292,-86.992029
"AL0220100","35072",32.931445,-86.243482
"AL0220200","35136",32.931445,-86.243482
"AL0220000","35136",32.931445,-86.243482
"AL0230100","36420",31.243987,-86.448721
"AL0230800","36420",31.243987,-86.448721
"AL0230300","36442",31.243987,-86.448721
"AL0230400","36038",31.243987,-86.448721
"AL0230600","36455",31.243987,-86.448721
"AL0230200","36467",31.243987,-86.448721
"AL0230500","36474",31.243987,-86.448721
"AL0230700","36476",31.243987,-86.448721
"AL0230000","36420",31.243987,-86.448721
"AL0240200","36009",31.732826,-86.319222
"AL0240300","36028",31.732826,-86.319222
"AL0240400","36034",31.732826,-86.319222
"AL0240100","36049",31.732826,-86.319222
"AL0240000","36049",31.732826,-86.319222
"AL0250100","35055",34.131923,-86.869267
"AL0250300","35070",34.131923,-86.869267
"AL0250400","35057",34.131923,-86.869267
"AL0250200","35077",34.131923,-86.869267
"AL0250000","35055",34.131923,-86.869267
"AL0260800","36311",31.430654,-85.609476
"AL0260900","36322",31.430654,-85.609476
"AL0260200","36322",31.430654,-85.609476
"AL0260300","36322",31.430654,-85.609476
"AL0260600","36350",31.430654,-85.609476
"AL0260400","36303",31.430654,-85.609476
"AL0260500","36352",31.430654,-85.609476
"AL0260100","36361",31.430654,-85.609476
"AL0260700","36371",31.430654,-85.609476
"AL0260000","36361",31.430654,-85.609476
"AL0270200","36702",32.33354,-87.114356
"AL0270100","36703",32.33354,-87.114356
"ALAST2700"," ",32.33354,-87.114356
"AL0270000","36701",32.33354,-87.114356
"AL0280200","35961",34.460929,-85.803992
"AL0281000","35962",34.460929,-85.803992
"AL0280100","35967",34.460929,-85.803992
"AL0281100","35971",34.460929,-85.803992
"AL0280300","35974",34.460929,-85.803992
"AL0280800","35989",34.460929,-85.803992
"AL0280400","35978",34.460929,-85.803992
"AL0281400","35981",34.460929,-85.803992
"AL0280600","35984",34.460929,-85.803992
"AL0280500","35971",34.460929,-85.803992
"AL0280700","35986",34.460929,-85.803992
"AL0281500"," ",34.460929,-85.803992
"AL0281200","35988",34.460929,-85.803992
"AL0281300","35989",34.460929,-85.803992
"AL0280000","35967",34.460929,-85.803992
"AL0290400","36020",32.597229,-86.142738
"AL0290300","36024",32.597229,-86.142738
"AL0290600","36054",32.597229,-86.142738
"AL0290800"," ",32.597229,-86.142738
"AL0290200","36078",32.597229,-86.142738
"AL0290100","36092",32.597229,-86.142738
"AL0290500"," ",32.597229,-86.142738
"AL0290000","36092",32.597229,-86.142738
"AL0300100","36504",31.121747,-87.168429
"ALDI00300","36502",31.121747,-87.168429
"AL0300200","36427",31.121747,-87.168429
"AL0300300","36427",31.121747,-87.168429
"AL0300400","36441",31.121747,-87.168429
"AL0300000","36426",31.121747,-87.168429
"AL0310900","35952",34.047648,-86.034522
"AL0310100","35954",34.047648,-86.034522
"AL0311100"," ",34.047648,-86.034522
"AL0310200","35902",34.047648,-86.034522
"AL0312100"," ",34.047648,-86.034522
"ALAST3100"," ",34.047648,-86.034522
"AL0310400","35905",34.047648,-86.034522
"AL0310600","35903",34.047648,-86.034522
"AL0310500","35906",34.047648,-86.034522
"AL0312000"," ",34.047648,-86.034522
