year,state_abbr,locality,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,caveats
1995,PR,,,22450,864,324,,15753,5509,83638,27689,39960,15989,,
1996,PR,,,20147,868,316,,13900,5063,79641,27866,35652,16123,,
1997,PR,,,19595,723,278,,13642,4952,75280,26942,32715,15623,,
1998,PR,,,16439,652,243,,11448,4096,70581,24512,30493,15576,,
1999,PR,,3889507,14180,567,223,,9827,3563,67674,23033,30206,14435,,
2000,PR,,3808610,12404,693,228,,8757,2726,62973,21057,28940,12976,,
2001,PR,,3839810,11403,744,187,,7999,2473,58714,19931,26140,12643,,
2002,PR,,3859523,13471,774,241,,8978,3478,77312,24737,39640,12935,,
2003,PR,,3878532,11885,779,204,,7737,3165,69895,20857,36827,12211,,
2004,PR,,3894855,10045,793,199,,6030,3023,60073,18264,31681,10128,,
2005,PR,,3911810,9579,766,169,,5550,3094,55466,17191,28976,9299,,
2006,PR,,3927776,8929,739,118,,5245,2827,53197,16668,27936,8593,,
2007,PR,,3941459,8942,728,97,,5134,2983,53937,17160,28955,7822,,
2008,PR,,3954553,9484,807,95,,5467,3115,59254,19138,33113,7003,,
2009,PR,,3967288,10492,894,65,,6093,3440,55937,18521,30584,6832,,
2010,PR,,3721978,10246,977,39,,6516,2714,51036,17494,26773,6769,,Not Available
2011,PR,,3706690,10540,1136,45,,6465,2894,51717,16591,29273,5853,,
2012,PR,,3651545,10041,978,32,,6298,2733,51679,15287,30545,5847,,
2013,PR,,3595839,9320,883,26,,6016,2395,48851,13961,29360,5530,,
2014,PR,,3534888,8368,681,41,,5171,2475,45622,12035,28948,4639,,
2015,PR,,3474182,7836,584,165,,4122,2965,38721,9427,25165,4129,,
2016,PR,,3411307,7643,679,128,169,3201,3594,35201,8251,23163,3787,,
1995,AS,,,126,1,4,,4,117,382,253,124,5,12,
1996,AS,,,170,4,17,,7,142,401,259,136,6,13,
1997,AS,,,196,3,6,,5,182,428,254,163,11,0,
1998,AS,,,205,1,9,,12,183,390,234,144,12,4,
1999,AS,,,,,,,,,,,,,,Not Available
2000,AS,,,162,4,13,,2,143,348,244,99,5,4,
2001,AS,,,183,1,27,,3,152,323,215,98,10,4,
2002,AS,,,154,6,22,,2,124,338,235,98,5,2,
2003,AS,,,125,3,19,,1,102,317,196,110,11,0,
2004,AS,,,105,4,11,,3,87,274,192,76,6,2,
2005,AS,,,123,5,16,,2,100,228,159,65,4,2,
2006,AS,,,,,,,,,,,,,,Not Available
2007,AS,,,,,,,,,,,,,,Not Available
2008,AS,,,,,,,,,,,,,,Not Available
2009,AS,,,,,,,,,,,,,,Not Available
2010,AS,,,,,,,,,,,,,,Not Available
2011,AS,,,,,,,,,,,,,,Not Available
2012,AS,,,,,,,,,,,,,,Not Available
2013,AS,,,,,,,,,,,,,,Not Available
2014,AS,,,,,,,,,,,,,,Not Available
2015,AS,,,,,,,,,,,,,,Not Available
1995,GU,,,488,7,112,,127,242,7893,2149,5077,667,30,
1996,GU,,,521,15,168,,107,231,7473,2202,4526,745,13,
1997,GU,,,481,11,86,,144,240,9555,2467,6010,1078,10,
1998,GU,,,447,9,87,,146,205,6490,1325,4554,611,9,
1999,GU,,,,,,,,,,,,,,Not Available
2000,GU,,,,,,,,,,,,,,Not Available
2001,GU,,,,,,,,,,,,,,Not Available
2002,GU,,,,,,,,,,,,,,Not Available
2003,GU,,,,,,,,,,,,,,Not Available
2004,GU,,,,,,,,,,,,,,Not Available
2005,GU,,,,,,,,,,,,,,Not Available
2006,GU,,,,,,,,,,,,,,Not Available
2007,GU,,,,,,,,,,,,,,Not Available
2008,GU,,,,,,,,,,,,,,Not Available
2009,GU,,,,,,,,,,,,,,Not Available
2010,GU,,,,,,,,,,,,,,Not Available
2011,GU,,,,,,,,,,,,,,Not Available
2012,GU,,,,,,,,,,,,,,Not Available
2013,GU,,,660,9,106,,145,400,4519,1620,2521,378,9,
2014,GU,,,545,6,117,,128,294,3805,1577,1970,258,,
2015,GU,,,,,,,,,,,,,,Not Available
1995,VI,,,2035,21,60,,482,1472,6397,2893,2903,601,62,
1996,VI,,,,,,,,,,,,,,Not Available
1997,VI,,,,,,,,,,,,,,Not Available
1998,VI,,,,,,,,,,,,,,Not Available
1999,VI,,,,,,,,,,,,,,Not Available
2000,VI,,,,,,,,,,,,,,Not Available
2001,VI,,,,,,,,,,,,,,Not Available
2002,VI,,,,,,,,,,,,,,Not Available
2003,VI,,,,,,,,,,,,,,Not Available
2004,VI,,,,,,,,,,,,,,Not Available
2005,VI,,,,,,,,,,,,,,Not Available
2006,VI,,,,,,,,,,,,,,Not Available
2007,VI,,,,,,,,,,,,,,Not Available
2008,VI,,,,,,,,,,,,,,Not Available
2009,VI,,,,,,,,,,,,,,Not Available
2010,VI,,,,,,,,,,,,,,Started Submitting by agency
2011,VI,,,,,,,,,,,,,,Started Submitting by agency
2012,VI,,,,,,,,,,,,,,Started Submitting by agency
2013,VI,,,,,,,,,,,,,,Started Submitting by agency
2014,VI,,,,,,,,,,,,,,Started Submitting by agency
2015,VI,,,,,,,,,,,,,,Started Submitting by agency
1995,VI,St. Croix,,,,,,,,,,,,,Not Available
1996,VI,St. Croix,,,,,,,,,,,,,Not Available
1997,VI,St. Croix,,,,,,,,,,,,,Not Available
1998,VI,St. Croix,,,,,,,,,,,,,Not Available
1999,VI,St. Croix,,,,,,,,,,,,,Not Available
2000,VI,St. Croix,,,,,,,,,,,,,Not Available
2001,VI,St. Croix,,,,,,,,,,,,,Not Available
