ZIP,COUNTY,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,0.000000000,1.000000000,0.000000000,1.000000000
00601,72001,1.000000000,1.000000000,1.000000000,1.000000000
00602,72003,1.000000000,1.000000000,1.000000000,1.000000000
00603,72071,0.008257873,0.000947867,0.007766990,0.007841497
00603,72005,0.991742127,0.999052133,0.992233010,0.992158503
00604,72005,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,1.000000000,1.000000000,1.000000000,1.000000000
00612,72054,0.002733663,0.000000000,0.000000000,0.002429431
00612,72141,0.000954613,0.000412371,0.004338395,0.000964060
00612,72013,0.995964593,0.999587629,0.995661605,0.996298010
00612,72065,0.000347132,0.000000000,0.000000000,0.000308499
00613,72013,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,1.000000000,1.000000000,1.000000000,1.000000000
00617,72054,0.017451497,0.000000000,0.000000000,0.016277166
00617,72017,0.982548503,1.000000000,1.000000000,0.983722834
00622,72023,1.000000000,1.000000000,1.000000000,1.000000000
00623,72097,0.000852124,0.000000000,0.000000000,0.000796617
00623,72023,0.999147876,1.000000000,1.000000000,0.999203383
00624,72111,1.000000000,1.000000000,1.000000000,1.000000000
00627,72027,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,0.997280000,0.994202899,1.000000000,0.997130343
00638,72107,0.000320000,0.002898551,0.000000000,0.000453104
00638,72091,0.002400000,0.002898551,0.000000000,0.002416553
00641,72141,1.000000000,1.000000000,1.000000000,1.000000000
00646,72143,0.002126054,0.000000000,0.000000000,0.001967504
00646,72051,0.985529113,0.996265173,1.000000000,0.986354405
00646,72135,0.011316096,0.003734827,0.000000000,0.010726073
00646,72137,0.001028736,0.000000000,0.000000000,0.000952018
00647,72055,1.000000000,1.000000000,1.000000000,1.000000000
00650,72017,0.004809542,0.000000000,0.000000000,0.004652028
00650,72054,0.995190458,1.000000000,1.000000000,0.995347972
00652,72013,1.000000000,1.000000000,1.000000000,1.000000000
00653,72153,0.004908599,0.000000000,0.000000000,0.004503805
00653,72055,0.995091401,1.000000000,1.000000000,0.995496195
00656,72059,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,1.000000000,1.000000000,1.000000000,1.000000000
00660,72097,0.000148104,0.000000000,0.000000000,0.000140489
00660,72067,0.999851896,1.000000000,1.000000000,0.999859511
00662,72071,1.000000000,1.000000000,1.000000000,1.000000000
