A review of all columns in the database to determine which ones should be
excluded from a small data dump under version control to eliminate risk of
PII exposure.  Most of the "unsafe" columns should also be deleted from the
database itself before the API is made available.

./scrub_private.sql performs the decisions made here.

 safe  |         table_name          |         column_name          |          data_type          | max_length |      column_default       |   tuples    |            table_comment            |                                                                                                                                                                         column_comment
-------+-----------------------------+------------------------------+-----------------------------+------------+---------------------------+-------------+-------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 - [x] | arson_month                 | arson_month_id               | bigint                      |            |                           |      534408 |                                     |
 - [x] | arson_month                 | agency_id                    | bigint                      |            |                           |      534408 |                                     |
 - [x] | arson_month                 | data_year                    | smallint                    |            |                           |      534408 |                                     |
 - [x] | arson_month                 | month_num                    | smallint                    |            |                           |      534408 |                                     |
 - [x] | arson_month                 | data_home                    | character                   |          1 | 'T'::bpchar               |      534408 |                                     |
 - [x] | arson_month                 | source_flag                  | character                   |          1 |                           |      534408 |                                     | This field indicates the source of the data.  R came into the system as a report, I means the data was derived from NIBRS data.
 - [x] | arson_month                 | reported_flag                | character                   |          1 |                           |      534408 |                                     |
 - [ ] | arson_month                 | ddocname                     | character varying           |        100 |                           |      534408 |                                     |
 - [x] | arson_month                 | month_included_in            | smallint                    |            |                           |      534408 |                                     |
 - [x] | arson_month                 | report_date                  | timestamp without time zone |            |                           |      534408 |                                     |
 - [x] | arson_month                 | prepared_date                | timestamp without time zone |            |                           |      534408 |                                     |
 - [x] | arson_month                 | orig_format                  | character                   |          1 |                           |      534408 |                                     |
 - [x] | arson_month                 | update_flag                  | character                   |          1 |                           |      534408 |                                     |
 - [x] | arson_month                 | did                          | bigint                      |            |                           |      534408 |                                     |
 - [x] | arson_month                 | ff_line_number               | bigint                      |            |                           |      534408 |                                     |
 - [x] | arson_month_by_subcat       | arson_month_id               | bigint                      |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | subcategory_id               | bigint                      |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | reported_count               | integer                     |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | reported_status              | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | unfounded_count              | integer                     |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | unfounded_status             | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | actual_count                 | integer                     |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | actual_status                | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | cleared_count                | integer                     |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | cleared_status               | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | juvenile_cleared_count       | integer                     |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | juvenile_cleared_status      | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | uninhabited_count            | integer                     |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | uninhabited_status           | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | est_damage_value             | bigint                      |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_month_by_subcat       | est_damage_value_status      | smallint                    |            |                           |  6.9473e+06 |                                     |
 - [x] | arson_subcategory           | subcategory_id               | bigint                      |            |                           |          13 |                                     |
 - [x] | arson_subcategory           | subcategory_name             | character varying           |        100 |                           |          13 |                                     |
 - [x] | arson_subcategory           | subcategory_code             | character varying           |         20 |                           |          13 |                                     |
 - [x] | arson_subcategory           | subclass_id                  | integer                     |            |                           |          13 |                                     |
 - [x] | arson_subcategory           | subcat_xml_path              | character varying           |       4000 |                           |          13 |                                     |
 - [x] | arson_subclassification     | subclass_id                  | smallint                    |            |                           |           3 |                                     |
 - [x] | arson_subclassification     | subclass_name                | character varying           |        100 |                           |           3 |                                     |
 - [x] | arson_subclassification     | subclass_code                | character varying           |         20 |                           |           3 |                                     |
 - [x] | arson_subclassification     | subclass_xml_path            | character varying           |       4000 |                           |           3 |                                     |
 - [x] | asr_age_range               | age_range_id                 | bigint                      |            |                           |          52 |                                     |
 - [x] | asr_age_range               | age_range_name               | character varying           |         20 |                           |          52 |                                     |
 - [x] | asr_age_range               | age_range_code               | character varying           |         20 |                           |          52 |                                     |
 - [x] | asr_age_range               | juvenile_flag                | character                   |          1 |                           |          52 |                                     |
 - [x] | asr_age_range               | ff_sort_order                | character varying           |          3 |                           |          52 |                                     |
 - [x] | asr_age_range               | age_sex                      | character varying           |          1 |                           |          52 |                                     |
 - [x] | asr_age_range               | xml_code                     | character varying           |       2001 |                           |          52 |                                     |
 - [x] | asr_age_sex_subcat          | asr_month_id                 | bigint                      |            |                           | 1.19373e+07 |                                     |
 - [x] | asr_age_sex_subcat          | offense_subcat_id            | bigint                      |            |                           | 1.19373e+07 |                                     |
 - [x] | asr_age_sex_subcat          | age_range_id                 | bigint                      |            |                           | 1.19373e+07 |                                     |
